Package_Name	Class_Name	Function_Name	Func_Readability
junit.tests.framework	TornDown	testErrorTearingDownDoesntMaskErrorRunning		0.004316546762589928
junit.tests.framework	TornDown	testNoArgTestCasePasses		0.06899999999999999
junit.tests.framework	TornDown	testNamelessTestCase		0.69
junit.tests.framework	TornDown	verifyError		0.85
junit.tests.framework	TornDown	verifyFailure		0.85
junit.tests.framework	TornDown	verifySuccess		0.85
junit.tests.framework	DoubleTestCase	DoubleTestCase		0.0
junit.tests.framework	DoubleTestCase	run		0.015
junit.tests.framework	DoubleTestCase	TestImplementorTest		0.0
junit.tests.framework	DoubleTestCase	testSuccessfulRun		0.13799999999999998
junit.tests.framework	TestListenerTest	addError		0.22552071668533033
junit.tests.framework	TestListenerTest	addFailure		0.25973930481283425
junit.tests.framework	TestListenerTest	endTest		0.5164055555555556
junit.tests.framework	TestListenerTest	startTest		0.7548648648648648
junit.tests.framework	TestListenerTest	testStartStop		0.023333333333333334
junit.tests.runner	AllTests	isJDK11		0.79
junit.tests.runner	MockRunner	runFailed		0.10416666666666667
junit.tests.runner	MockRunner	testEnded		0.0
junit.tests.runner	MockRunner	testFailed		0.04833333333333333
junit.tests.runner	MockRunner	testStarted		0.0
junit.tests.runner	NonStatic	testInvokeNonStaticSuite		0.35
junit.tests.runner	TestResultPrinter	TestResultPrinter		0.051722222222222225
junit.tests.runner	TestResultPrinter	elapsedTimeAsString		0.0
junit.tests.runner	TestResultPrinter	testEmptySuite		0.0
junit.tests.runner	TestResultPrinter	testOneTest		0.010882352941176471
junit.tests.runner	TestResultPrinter	testTwoTests		0.12283333333333334
junit.tests.runner	TestResultPrinter	printFailures		0.016567439409905165
junit.tests.runner	TestResultPrinter	printErrors		Infinity
junit.tests.runner	TestResultPrinter	expected		0.266
junit.tests.runner	InvocationTest	testSingle		0.0
junit.tests.runner	TextRunnerTest	execTest		0.07125313283208021
junit.tests.runner	TextRunnerTest	testRunReturnsResult		0.0
junit.tests.runner	TextRunnerTest	write		NaN
org.junit.samples	ListTest	setUpOnce		0.0
org.junit.samples	ListTest	capacity		0.11916666666666666
org.junit.samples	ListTest	testCopy		0.225
org.junit.samples	ListTest	elementAt		0.0
org.junit.samples.money	MoneyTest	zeroMoniesAreEqualRegardlessOfCurrency		0.0
org.junit.samples	SimpleTest	divideByZero		1.5299999999999998
org.junit.tests	All	ensureTestIsRun		0.175
org.junit.tests	All	correctTestCount		0.0
org.junit.tests	AllJUnit4	correctTestCountAdapted		0.0
org.junit.tests	ValueAnnotatedClass	descriptionOfTestClassHasValuedAnnotation		1.29
org.junit.tests	ValueAnnotatedClass	characterizeCreatingMyOwnAnnotation		0.01902777777777778
org.junit.tests	ValueAnnotatedClass	describe		0.0
org.junit.tests	SimpleTest	testAnnotatedMethod		0.35
org.junit.tests	SetupTest	testSetup		0.35
org.junit.tests	TeardownTest	testTeardown		0.35
org.junit.tests	FailureTest	testRunFailure		0.29
org.junit.tests	SetupFailureTest	testSetupFailure		0.6691666666666667
org.junit.tests	TeardownFailureTest	testTeardownFailure		0.6691666666666667
org.junit.tests	TestAndTeardownFailureTest	testTestAndTeardownFailure		0.6575
org.junit.tests	TeardownAfterFailureTest	testTeardownAfterFailure		0.35
org.junit.tests	OldTest	testOldTest		0.35
org.junit.tests	OldSuiteTest	testOldSuiteTest		0.4525
org.junit.tests	ExceptionTest	testException		1.0065
org.junit.tests	NoExceptionTest	testExceptionNotThrown		0.87
org.junit.tests	OneTimeSetup	testOneTimeSetup		1.28
org.junit.tests	OneTimeTeardown	testOneTimeTeardown		1.28
org.junit.tests	OrderTest	testOrder		1.28
org.junit.tests	NonStaticOneTimeSetup	testNonStaticOneTimeSetup		1.33
org.junit.tests	ErrorInBeforeClass	testErrorInBeforeClass		0.9486666666666667
org.junit.tests	ErrorInAfterClass	testErrorInAfterClass		0.985
org.junit.tests	SubInheritance	testOrderingOfInheritance		1.28
org.junit.tests	SubShadowing	testShadowing		1.28
org.junit.tests	SubTest	testTestInheritance		1.28
org.junit.tests	RunAllAfters	testRunAllAfters		1.28
org.junit.tests	RunAllAftersRegardless	testRunAllAftersRegardless		0.87
org.junit.tests	RunAllAfterClasses	testRunAllAfterClasses		1.28
org.junit.tests	RunAllAfterClassesRegardless	testRunAllAfterClassesRegardless		0.87
org.junit.tests	AssertionTest	multiDimensionalIntArraysAreEqual		0.0
org.junit.tests	AssertionTest	arraysWithNullElementEqual		0.0
org.junit.tests	AssertionTest	arraysEqual		0.15
org.junit.tests	AssertionTest	arraysEqualWithMessage		0.15
org.junit.tests	AssertionTest	notEqualsObjectWithNullWithMessage		0.0
org.junit.tests	AssertionTest	notEqualsNullWithObjectWithMessage		0.0
org.junit.tests	AssertionTest	same		0.0
org.junit.tests	AssertionTest	notSame		0.0
org.junit.tests	AssertionTest	objectsAreSame		0.0
org.junit.tests	AssertionTest	notSameWithMessage		0.0
org.junit.tests	AssertionTest	notSameNullMessage		0.0
org.junit.tests	AssertionTest	arraysDeclaredAsObjectAreComparedAsObjects		0.0
org.junit.tests	AssertionTest	implicitTypecastEquality		0.012608695652173913
org.junit.tests	AssertionTest	assertThatIncludesDescriptionOfTestedValueInErrorMessage		0.08933333333333333
org.junit.tests	AssertionTest	assertThatDescriptionCanBeElided		0.08933333333333333
org.junit.tests	HasFailingAssumption	failedAssumptionsMeanPassing		0.22999999999999998
org.junit.tests	HasPassingAssumption	passingAssumptionsScootThrough		0.22999999999999998
org.junit.tests	HasPassingAssumption	assumeNotNullThrowsException		0.0
org.junit.tests	HasPassingAssumption	assumeNotNullPasses		0.0
org.junit.tests	HasPassingAssumption	assumeNotNullIncludesParameterList		0.0
org.junit.tests	HasPassingAssumption	assumeNoExceptionThrows		0.15142857142857144
org.junit.tests	AssumptionViolatedExceptionTest	toStringIsUseful		0.93
org.junit.tests	AssumptionViolatedExceptionTest	AssumptionViolatedExceptionDescribesItself		0.0
org.junit.tests	BothTest	bothFails		0.31612698412698415
org.junit.tests	BothTest	descriptionIsSensible		0.45416666666666666
org.junit.tests	BothTest	threeAndsWork		0.26813690476190477
org.junit.tests	BothTest	threeOrsWork		0.26813690476190477
org.junit.tests	B	enclosedRunnerPlansEnclosedClasses		0.35
org.junit.tests	B	enclosedRunnerRunsEnclosedClasses		1.38
org.junit.tests	Unexpected	unexpected		0.965
org.junit.tests	NoneThrown	noneThrown		0.9966666666666667
org.junit.tests	CantConstruct	failedConstructionIsTestFailure		0.6366666666666666
